
List of user-set options:

                                    Name   Value                used
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
                           linear_solver = mumps                 yes
                                max_iter = 1000                  yes
                      nlp_scaling_method = user-scaling          yes
                             output_file = /Users/alfiyandyhr/Github_Repos/atomics/atomics/examples/case_5_LCE_shape_matching/run_lce_qdvs_out/IPOPT.out  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
                                     tol = 1e-05                 yes
This is Ipopt version 3.14.19, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:      100
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      300
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      300
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  3.4229209e+00 0.00e+00 4.47e-02 -11.0 4.47e-02    -  1.00e+00 9.93e-03f  1
  31  3.4221298e+00 0.00e+00 4.16e-02 -11.0 4.14e-02    -  1.00e+00 5.89e-02f  1
  32  3.4211389e+00 0.00e+00 4.24e-02  -7.7 4.21e-02    -  1.00e+00 8.62e-02f  1
  33  3.4118419e+00 0.00e+00 4.43e-02  -8.9 4.23e-02    -  1.00e+00 7.96e-01f  1
  34  3.4079348e+00 0.00e+00 4.50e-02 -10.5 4.41e-02    -  1.00e+00 3.17e-01f  1
  35  3.4078953e+00 0.00e+00 4.45e-02 -11.0 4.45e-02    -  1.00e+00 3.15e-03f  1
  36  3.4077975e+00 0.00e+00 4.49e-02  -9.1 4.49e-02    -  1.00e+00 9.29e-03f  1
  37  3.4070208e+00 0.00e+00 4.36e-02 -10.3 4.34e-02    -  1.00e+00 7.49e-02f  1
  38  3.4067098e+00 0.00e+00 3.70e-02 -10.1 3.69e-02    -  1.00e+00 3.72e-02f  1
  39  3.4029506e+00 0.00e+00 3.77e-02 -11.0 3.70e-02    -  1.00e+00 4.49e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  3.4029007e+00 0.00e+00 3.77e-02 -11.0 3.77e-02    -  1.00e+00 5.90e-03f  1
  41  3.3998596e+00 0.00e+00 3.83e-02  -8.6 3.77e-02    -  1.00e+00 3.62e-01f  1
  42  3.3998190e+00 0.00e+00 3.83e-02  -9.9 3.82e-02    -  1.00e+00 4.78e-03f  1
  43  3.3970532e+00 0.00e+00 3.89e-02  -9.1 3.83e-02    -  1.00e+00 3.26e-01f  1
  44  3.3970188e+00 0.00e+00 3.88e-02 -10.3 3.88e-02    -  1.00e+00 4.00e-03f  1
  45  3.3964042e+00 0.00e+00 3.89e-02 -11.0 3.88e-02    -  1.00e+00 7.23e-02f  1
  46  3.3960934e+00 0.00e+00 3.90e-02  -8.6 3.89e-02    -  1.00e+00 3.75e-02f  1
  47  3.3928034e+00 0.00e+00 3.97e-02  -9.8 3.90e-02    -  1.00e+00 3.96e-01f  1
  48  3.3927528e+00 0.00e+00 3.97e-02 -11.0 3.97e-02    -  1.00e+00 5.99e-03f  1
  49  3.3842632e+00 0.00e+00 4.16e-02  -8.8 3.97e-02    -  1.00e+00 9.94e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  3.3841131e+00 0.00e+00 4.15e-02 -10.0 4.14e-02    -  1.00e+00 1.67e-02f  1
  51  3.3841108e+00 0.00e+00 3.54e-02 -11.0 3.54e-02    -  1.00e+00 2.80e-04f  1
  52  3.3812057e+00 0.00e+00 3.62e-02 -11.0 3.57e-02    -  1.00e+00 4.00e-01f  1
  53  3.3801597e+00 0.00e+00 3.63e-02 -11.0 3.62e-02    -  1.00e+00 1.41e-01f  1
  54  3.3801464e+00 0.00e+00 3.63e-02 -11.0 3.63e-02    -  1.00e+00 1.79e-03f  1
  55  3.3786253e+00 0.00e+00 3.66e-02 -11.0 3.63e-02    -  1.00e+00 2.08e-01f  1
  56  3.3753384e+00 0.00e+00 3.72e-02 -11.0 3.66e-02    -  1.00e+00 4.44e-01f  1
  57  3.3753035e+00 0.00e+00 3.71e-02 -11.0 3.71e-02    -  1.00e+00 4.63e-03f  1
  58  3.3751717e+00 0.00e+00 3.71e-02 -11.0 3.71e-02    -  1.00e+00 1.76e-02f  1
  59  3.3734711e+00 0.00e+00 3.74e-02 -11.0 3.71e-02    -  1.00e+00 2.26e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  3.3734511e+00 0.00e+00 3.74e-02 -11.0 3.74e-02    -  1.00e+00 2.63e-03f  1
  61  3.3723593e+00 0.00e+00 3.76e-02 -10.5 3.74e-02    -  1.00e+00 1.45e-01f  1
  62  3.3721456e+00 0.00e+00 3.76e-02 -11.0 3.76e-02    -  1.00e+00 2.82e-02f  1
  63  3.3712259e+00 0.00e+00 3.77e-02 -11.0 3.75e-02    -  1.00e+00 1.21e-01f  1
  64  3.3696191e+00 0.00e+00 3.80e-02 -11.0 3.77e-02    -  1.00e+00 2.10e-01f  1
  65  3.3696012e+00 0.00e+00 3.79e-02 -11.0 3.79e-02    -  1.00e+00 2.32e-03f  1
  66  3.3689072e+00 0.00e+00 3.81e-02  -9.9 3.79e-02    -  1.00e+00 9.16e-02f  1
  67  3.3688202e+00 0.00e+00 3.81e-02 -11.0 3.81e-02    -  1.00e+00 1.15e-02f  1
  68  3.3644587e+00 0.00e+00 3.89e-02 -11.0 3.81e-02    -  1.00e+00 5.74e-01f  1
  69  3.3640357e+00 0.00e+00 3.89e-02 -11.0 3.88e-02    -  1.00e+00 5.42e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  3.3640297e+00 0.00e+00 3.89e-02 -11.0 3.89e-02    -  1.00e+00 7.72e-04f  1
  71  3.3624541e+00 0.00e+00 3.92e-02 -11.0 3.89e-02    -  1.00e+00 2.02e-01f  1
  72  3.3624358e+00 0.00e+00 3.91e-02 -11.0 3.91e-02    -  1.00e+00 2.32e-03f  1
  73  3.3619215e+00 0.00e+00 3.92e-02 -11.0 3.91e-02    -  1.00e+00 6.60e-02f  1
  74  3.3616211e+00 0.00e+00 3.91e-02 -11.0 3.90e-02    -  1.00e+00 3.86e-02f  1
  75  3.3615666e+00 0.00e+00 3.95e-02 -11.0 3.95e-02    -  1.00e+00 8.62e-03f  1
  76  3.3555529e+00 0.00e+00 4.15e-02 -11.0 3.95e-02    -  1.00e+00 9.48e-01f  1
  77  3.3551401e+00 0.00e+00 4.15e-02 -11.0 4.14e-02    -  1.00e+00 6.22e-02f  1
  78  3.3551359e+00 0.00e+00 4.15e-02 -11.0 4.15e-02    -  1.00e+00 6.35e-04f  1
  79  3.3549969e+00 0.00e+00 4.16e-02 -11.0 4.15e-02    -  1.00e+00 2.12e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  3.3545150e+00 0.00e+00 4.17e-02 -11.0 4.16e-02    -  1.00e+00 7.32e-02f  1
  81  3.3545087e+00 0.00e+00 2.95e-02 -11.0 2.95e-02    -  1.00e+00 1.03e-03f  1
  82  3.3530983e+00 0.00e+00 2.21e-02 -11.0 2.20e-02    -  1.00e+00 2.90e-01f  1
  83  3.3528143e+00 0.00e+00 2.21e-02 -11.0 2.21e-02    -  1.00e+00 5.79e-02f  1
  84  3.3528077e+00 0.00e+00 2.21e-02 -11.0 2.21e-02    -  1.00e+00 1.36e-03f  1
  85  3.3509514e+00 0.00e+00 2.24e-02 -11.0 2.21e-02    -  1.00e+00 3.89e-01f  1
  86  3.3509319e+00 0.00e+00 2.24e-02 -11.0 2.24e-02    -  1.00e+00 4.04e-03f  1
  87  3.3508381e+00 0.00e+00 2.24e-02 -11.0 2.24e-02    -  1.00e+00 1.95e-02f  1
  88  3.3476230e+00 0.00e+00 2.28e-02 -11.0 2.24e-02    -  1.00e+00 6.65e-01f  1
  89  3.3475907e+00 0.00e+00 2.27e-02 -11.0 2.27e-02    -  1.00e+00 6.54e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  3.3475840e+00 0.00e+00 2.27e-02 -11.0 2.27e-02    -  1.00e+00 1.37e-03f  1
  91  3.3458733e+00 0.00e+00 2.29e-02 -11.0 2.27e-02    -  1.00e+00 3.46e-01f  1
  92  3.3458560e+00 0.00e+00 2.29e-02 -11.0 2.29e-02    -  1.00e+00 3.47e-03f  1
  93  3.3458222e+00 0.00e+00 2.29e-02 -11.0 2.29e-02    -  1.00e+00 6.84e-03f  1
  94  3.3422994e+00 0.00e+00 2.34e-02 -11.0 2.29e-02    -  1.00e+00 7.07e-01f  1
  95  3.3422636e+00 0.00e+00 2.33e-02 -11.0 2.33e-02    -  1.00e+00 7.01e-03f  1
  96  3.3422614e+00 0.00e+00 2.33e-02 -11.0 2.33e-02    -  1.00e+00 4.26e-04f  1
  97  3.3400916e+00 0.00e+00 2.36e-02 -11.0 2.33e-02    -  1.00e+00 4.28e-01f  1
  98  3.3400697e+00 0.00e+00 2.35e-02 -11.0 2.35e-02    -  1.00e+00 4.25e-03f  1
  99  3.3400415e+00 0.00e+00 2.35e-02 -11.0 2.35e-02    -  1.00e+00 5.51e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  3.3348571e+00 0.00e+00 2.42e-02 -11.0 2.35e-02    -  1.00e+00 1.00e+00f  1
 101  3.3294139e+00 0.00e+00 2.49e-02 -11.0 2.41e-02    -  1.00e+00 1.00e+00f  1
 102  3.3280074e+00 0.00e+00 2.50e-02 -11.0 2.47e-02    -  1.00e+00 2.48e-01f  1
 103  3.3279932e+00 0.00e+00 2.49e-02 -11.0 2.49e-02    -  1.00e+00 2.48e-03f  1
 104  3.3279899e+00 0.00e+00 2.49e-02 -11.0 2.49e-02    -  1.00e+00 5.91e-04f  1
 105  3.3223031e+00 0.00e+00 2.58e-02 -11.0 2.49e-02    -  1.00e+00 9.93e-01f  1
 106  3.3222457e+00 0.00e+00 2.57e-02 -11.0 2.56e-02    -  1.00e+00 9.64e-03f  1
 107  3.3222441e+00 0.00e+00 2.56e-02 -11.0 2.56e-02    -  1.00e+00 2.63e-04f  1
 108  3.3210348e+00 0.00e+00 2.57e-02 -11.0 2.56e-02    -  1.00e+00 2.03e-01f  1
 109  3.3210217e+00 0.00e+00 2.57e-02 -11.0 2.57e-02    -  1.00e+00 2.19e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  3.3206313e+00 0.00e+00 2.58e-02 -11.0 2.57e-02    -  1.00e+00 6.53e-02f  1
 111  3.3182667e+00 0.00e+00 2.61e-02 -11.0 2.58e-02    -  1.00e+00 3.92e-01f  1
 112  3.3182425e+00 0.00e+00 2.61e-02 -11.0 2.61e-02    -  1.00e+00 3.94e-03f  1
 113  3.3181514e+00 0.00e+00 2.60e-02 -11.0 2.60e-02    -  1.00e+00 1.49e-02f  1
 114  3.3158474e+00 0.00e+00 2.64e-02 -11.0 2.60e-02    -  1.00e+00 3.75e-01f  1
 115  3.3158236e+00 0.00e+00 2.63e-02 -11.0 2.63e-02    -  1.00e+00 3.80e-03f  1
 116  3.3157299e+00 0.00e+00 2.63e-02 -11.0 2.63e-02    -  1.00e+00 1.51e-02f  1
 117  3.3100985e+00 0.00e+00 2.72e-02 -11.0 2.63e-02    -  1.00e+00 8.94e-01f  1
 118  3.3100415e+00 0.00e+00 2.71e-02 -11.0 2.71e-02    -  1.00e+00 8.69e-03f  1
 119  3.3100389e+00 0.00e+00 2.70e-02 -11.0 2.70e-02    -  1.00e+00 4.04e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  3.3098071e+00 0.00e+00 2.70e-02 -11.0 2.70e-02    -  1.00e+00 3.55e-02f  1
 121  3.3095308e+00 0.00e+00 2.70e-02 -11.0 2.70e-02    -  1.00e+00 4.24e-02f  1
 122  3.3068922e+00 0.00e+00 2.74e-02 -11.0 2.70e-02    -  1.00e+00 4.02e-01f  1
 123  3.3068654e+00 0.00e+00 2.74e-02 -11.0 2.73e-02    -  1.00e+00 4.01e-03f  1
 124  3.3067980e+00 0.00e+00 2.72e-02 -11.0 2.72e-02    -  1.00e+00 1.01e-02f  1
 125  3.3051123e+00 0.00e+00 2.75e-02 -11.0 2.72e-02    -  1.00e+00 2.52e-01f  1
 126  3.3050937e+00 0.00e+00 2.75e-02 -11.0 2.75e-02    -  1.00e+00 2.75e-03f  1
 127  3.3044820e+00 0.00e+00 2.75e-02 -10.8 2.74e-02    -  1.00e+00 9.11e-02f  1
 128  3.3038492e+00 0.00e+00 2.75e-02 -11.0 2.74e-02    -  1.00e+00 9.37e-02f  1
 129  3.3037985e+00 0.00e+00 2.74e-02  -9.7 2.74e-02    -  1.00e+00 7.53e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  3.3018375e+00 0.00e+00 2.76e-02 -11.0 2.73e-02    -  1.00e+00 2.92e-01f  1
 131  3.3016727e+00 0.00e+00 2.76e-02 -11.0 2.75e-02    -  1.00e+00 2.42e-02f  1
 132  3.3016059e+00 0.00e+00 2.74e-02 -11.0 2.74e-02    -  1.00e+00 9.87e-03f  1
 133  3.3001932e+00 0.00e+00 2.77e-02 -11.0 2.74e-02    -  1.00e+00 2.08e-01f  1
 134  3.3001644e+00 0.00e+00 2.75e-02 -11.0 2.75e-02    -  1.00e+00 4.23e-03f  1
 135  3.2997021e+00 0.00e+00 2.74e-02 -11.0 2.73e-02    -  1.00e+00 6.85e-02f  1
 136  3.2990601e+00 0.00e+00 2.72e-02 -11.0 2.71e-02    -  1.00e+00 9.62e-02f  1
 137  3.2987171e+00 0.00e+00 2.71e-02 -10.3 2.70e-02    -  1.00e+00 5.17e-02f  1
 138  3.2946433e+00 0.00e+00 2.77e-02 -11.0 2.71e-02    -  1.00e+00 6.07e-01f  1
 139  3.2946022e+00 0.00e+00 2.76e-02 -11.0 2.76e-02    -  1.00e+00 5.95e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  3.2945904e+00 0.00e+00 2.74e-02  -9.7 2.74e-02    -  1.00e+00 1.73e-03f  1
 141  3.2926708e+00 0.00e+00 2.76e-02 -11.0 2.73e-02    -  1.00e+00 2.82e-01f  1
 142  3.2903404e+00 0.00e+00 2.80e-02 -11.0 2.76e-02    -  1.00e+00 3.36e-01f  1
 143  3.2903168e+00 0.00e+00 2.79e-02 -11.0 2.79e-02    -  1.00e+00 3.35e-03f  1
 144  3.2902571e+00 0.00e+00 2.77e-02 -11.0 2.77e-02    -  1.00e+00 8.56e-03f  1
 145  3.2881010e+00 0.00e+00 2.81e-02 -11.0 2.77e-02    -  1.00e+00 3.07e-01f  1
 146  3.2880778e+00 0.00e+00 2.80e-02 -11.0 2.80e-02    -  1.00e+00 3.26e-03f  1
 147  3.2876658e+00 0.00e+00 2.80e-02 -10.3 2.80e-02    -  1.00e+00 5.85e-02f  1
 148  3.2867829e+00 0.00e+00 2.82e-02 -11.0 2.80e-02    -  1.00e+00 1.25e-01f  1
 149  3.2867256e+00 0.00e+00 2.80e-02 -11.0 2.80e-02    -  1.00e+00 8.11e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  3.2858922e+00 0.00e+00 2.81e-02 -11.0 2.80e-02    -  1.00e+00 1.18e-01f  1
 151  3.2857220e+00 0.00e+00 2.79e-02 -11.0 2.79e-02    -  1.00e+00 2.42e-02f  1
 152  3.2825192e+00 0.00e+00 2.85e-02 -11.0 2.79e-02    -  1.00e+00 4.52e-01f  1
 153  3.2824867e+00 0.00e+00 2.84e-02 -11.0 2.84e-02    -  1.00e+00 4.48e-03f  1
 154  3.2824315e+00 0.00e+00 2.82e-02 -11.0 2.82e-02    -  1.00e+00 7.70e-03f  1
 155  3.2810644e+00 0.00e+00 2.85e-02 -11.0 2.82e-02    -  1.00e+00 1.90e-01f  1
 156  3.2810465e+00 0.00e+00 2.84e-02 -11.0 2.83e-02    -  1.00e+00 2.48e-03f  1
 157  3.2793275e+00 0.00e+00 2.86e-02 -10.8 2.82e-02    -  1.00e+00 2.39e-01f  1
 158  3.2752605e+00 0.00e+00 2.94e-02 -11.0 2.85e-02    -  1.00e+00 5.54e-01f  1
 159  3.2752195e+00 0.00e+00 2.92e-02 -11.0 2.92e-02    -  1.00e+00 5.44e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  3.2752161e+00 0.00e+00 2.90e-02 -11.0 2.90e-02    -  1.00e+00 4.66e-04f  1
 161  3.2750035e+00 0.00e+00 2.90e-02 -11.0 2.90e-02    -  1.00e+00 2.86e-02f  1
 162  3.2744652e+00 0.00e+00 2.89e-02 -11.0 2.88e-02    -  1.00e+00 7.31e-02f  1
 163  3.2739743e+00 0.00e+00 2.90e-02 -11.0 2.89e-02    -  1.00e+00 6.64e-02f  1
 164  3.2738172e+00 0.00e+00 2.88e-02 -11.0 2.87e-02    -  1.00e+00 2.15e-02f  1
 165  3.2730813e+00 0.00e+00 2.89e-02 -11.0 2.87e-02    -  1.00e+00 1.00e-01f  1
 166  3.2726983e+00 0.00e+00 2.87e-02 -11.0 2.86e-02    -  1.00e+00 5.29e-02f  1
 167  3.2719715e+00 0.00e+00 2.86e-02 -11.0 2.85e-02    -  1.00e+00 1.02e-01f  1
 168  3.2717528e+00 0.00e+00 2.83e-02  -8.9 2.83e-02    -  1.00e+00 3.09e-02f  1
 169  3.2710812e+00 0.00e+00 2.82e-02 -10.3 2.81e-02    -  1.00e+00 9.62e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  3.2703649e+00 0.00e+00 2.81e-02  -9.2 2.80e-02    -  1.00e+00 1.03e-01f  1
 171  3.2690072e+00 0.00e+00 2.84e-02 -10.6 2.81e-02    -  1.00e+00 1.94e-01f  1
 172  3.2689916e+00 0.00e+00 2.79e-02 -11.0 2.79e-02    -  1.00e+00 2.25e-03f  1
 173  3.2685897e+00 0.00e+00 2.86e-02 -11.0 2.85e-02    -  1.00e+00 6.49e-02f  1
 174  3.2668757e+00 0.00e+00 2.86e-02  -9.2 2.83e-02    -  1.00e+00 2.79e-01f  1
 175  3.2663762e+00 0.00e+00 2.86e-02 -10.6 2.85e-02    -  1.00e+00 8.03e-02f  1
 176  3.2663165e+00 0.00e+00 2.83e-02 -11.0 2.82e-02    -  1.00e+00 9.75e-03f  1
 177  3.2637755e+00 0.00e+00 2.86e-02 -11.0 2.82e-02    -  1.00e+00 4.14e-01f  1
 178  3.2637498e+00 0.00e+00 2.82e-02 -11.0 2.82e-02    -  1.00e+00 4.13e-03f  1
 179  3.2636997e+00 0.00e+00 2.66e-02 -11.0 2.66e-02    -  1.00e+00 9.24e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  3.2632428e+00 0.00e+00 2.67e-02 -11.0 2.66e-02    -  1.00e+00 8.49e-02f  1
 181  3.2617430e+00 0.00e+00 2.68e-02 -11.0 2.64e-02    -  1.00e+00 2.81e-01f  1
 182  3.2600975e+00 0.00e+00 2.71e-02 -11.0 2.67e-02    -  1.00e+00 3.04e-01f  1
 183  3.2600810e+00 0.00e+00 2.69e-02 -11.0 2.69e-02    -  1.00e+00 3.01e-03f  1
 184  3.2600674e+00 0.00e+00 2.65e-02 -11.0 2.65e-02    -  1.00e+00 2.86e-03f  1
 185  3.2591311e+00 0.00e+00 2.67e-02 -11.0 2.65e-02    -  1.00e+00 1.98e-01f  1
 186  3.2591104e+00 0.00e+00 2.67e-02 -11.0 2.67e-02    -  1.00e+00 4.36e-03f  1
 187  3.2588468e+00 0.00e+00 2.67e-02 -11.0 2.66e-02    -  1.00e+00 5.59e-02f  1
 188  3.2585154e+00 0.00e+00 2.64e-02 -11.0 2.64e-02    -  1.00e+00 7.16e-02f  1
 189  3.2581176e+00 0.00e+00 2.62e-02 -11.0 2.61e-02    -  1.00e+00 8.75e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  3.2579400e+00 0.00e+00 2.58e-02  -8.8 2.58e-02    -  1.00e+00 4.01e-02f  1
 191  3.2574859e+00 0.00e+00 2.56e-02 -10.2 2.55e-02    -  1.00e+00 1.05e-01f  1
 192  3.2570832e+00 0.00e+00 2.57e-02 -11.0 2.56e-02    -  1.00e+00 9.31e-02f  1
 193  3.2570004e+00 0.00e+00 2.53e-02 -11.0 2.53e-02    -  1.00e+00 1.96e-02f  1
 194  3.2565960e+00 0.00e+00 2.53e-02 -11.0 2.52e-02    -  1.00e+00 9.63e-02f  1
 195  3.2563350e+00 0.00e+00 2.49e-02 -11.0 2.48e-02    -  1.00e+00 6.40e-02f  1
 196  3.2559146e+00 0.00e+00 2.45e-02 -11.0 2.44e-02    -  1.00e+00 1.06e-01f  1
 197  3.2554817e+00 0.00e+00 2.42e-02 -11.0 2.41e-02    -  1.00e+00 1.13e-01f  1
 198  3.2540257e+00 0.00e+00 2.45e-02 -11.0 2.42e-02    -  1.00e+00 3.77e-01f  1
 199  3.2540062e+00 0.00e+00 2.44e-02 -11.0 2.44e-02    -  1.00e+00 5.00e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  3.2521904e+00 0.00e+00 2.48e-02  -9.1 2.44e-02    -  1.00e+00 4.69e-01f  1
 201  3.2521717e+00 0.00e+00 2.47e-02 -10.4 2.47e-02    -  1.00e+00 4.77e-03f  1
 202  3.2520749e+00 0.00e+00 2.47e-02  -9.6 2.47e-02    -  1.00e+00 2.49e-02f  1
 203  3.2518092e+00 0.00e+00 2.48e-02 -11.0 2.47e-02    -  1.00e+00 6.84e-02f  1
 204  3.2517329e+00 0.00e+00 2.42e-02 -11.0 2.42e-02    -  1.00e+00 2.04e-02f  1
 205  3.2495079e+00 0.00e+00 2.47e-02 -11.0 2.42e-02    -  1.00e+00 5.94e-01f  1
 206  3.2494855e+00 0.00e+00 2.46e-02 -11.0 2.46e-02    -  1.00e+00 5.91e-03f  1
 207  3.2494647e+00 0.00e+00 2.39e-02 -11.0 2.39e-02    -  1.00e+00 5.75e-03f  1
 208  3.2481398e+00 0.00e+00 2.42e-02 -11.0 2.39e-02    -  1.00e+00 3.66e-01f  1
